participant_id,meanFD,maxFD
sub-010005,0.28294,1.2593
sub-010011,0.19534,0.39686
sub-010014,0.14962,1.8192
sub-010015,0.1739,0.40892
sub-010016,0.1661,0.42395
sub-010017,0.23364,0.52518
sub-010018,0.2106,2.7872
sub-010021,0.32134,0.82371
sub-010022,0.18758,0.3985
sub-010023,0.18017,0.49709
sub-010024,0.15072,0.90452
sub-010027,0.18403,0.52673
sub-010029,0.14288,0.64414
sub-010030,0.1751,0.46428
sub-010031,0.20358,0.46048
sub-010033,0.27477,0.70201
sub-010034,0.25024,1.1798
sub-010035,0.25481,0.57723
sub-010038,0.35952,1.6772
sub-010040,0.22582,0.58288
sub-010042,0.24224,2.2174
sub-010052,0.26113,0.93966
sub-010056,0.19763,1.0992
sub-010058,0.21371,0.5838
sub-010060,0.20917,2.0002
sub-010062,0.18835,0.88176
sub-010064,0.40179,1.2881
sub-010065,0.32943,5.2804
sub-010067,0.40017,1.2121
sub-010068,0.16036,1.0163
sub-010069,0.17583,0.65765
sub-010070,0.16088,0.59507
sub-010071,0.30989,0.74355
sub-010072,0.18285,0.50404
sub-010073,0.26818,1.8427
sub-010074,0.16612,2.1135
sub-010075,0.46495,13.845
sub-010076,0.24155,2.6255
sub-010077,0.21721,2.1464
sub-010078,0.36183,1.422
sub-010080,0.30171,1.527
sub-010082,0.26173,0.58739
sub-010084,0.24924,0.70129
sub-010094,0.31939,2.7212
sub-010096,0.27235,2.0157
sub-010097,0.24177,1.1481
sub-010098,0.077417,0.52119
sub-010099,0.18749,0.67875
sub-010101,0.076022,0.46801
sub-010102,0.16241,1.0318
sub-010105,0.26936,1.2571
sub-010106,0.25784,0.58793
sub-010107,0.18445,0.76201
sub-010108,0.21977,0.58397
sub-010111,0.080046,0.57751
sub-010112,0.17053,0.46628
sub-010113,0.17212,2.4618
sub-010115,0.21049,0.53597
sub-010116,0.10916,0.44987
sub-010117,0.10694,0.39252
sub-010118,0.21941,1.1447
sub-010121,0.1734,0.36329
sub-010122,0.2546,1.0752
sub-010123,0.10496,0.53242
sub-010124,0.25592,1.4404
sub-010126,0.14974,0.37725
sub-010127,0.26474,0.66662
sub-010128,0.24924,0.70234
sub-010129,0.1074,0.92938
sub-010130,0.16226,1.0553
sub-010131,0.22517,0.52654
sub-010132,0.23345,0.48505
sub-010136,0.17716,0.50741
sub-010137,0.13723,0.4395
sub-010141,0.24116,1.6458
sub-010143,0.24565,0.49638
sub-010144,0.32423,0.63568
sub-010145,0.14634,0.36134
sub-010147,0.17832,0.39646
sub-010151,0.45399,1.0312
sub-010154,0.20137,1.2712
sub-010155,0.17956,0.77286
sub-010156,0.15351,1.1515
sub-010157,0.09853,0.50011
sub-010158,0.26574,1.0417
sub-010159,0.26841,1.2769
sub-010161,0.15153,0.46081
sub-010162,0.18178,1.7927
sub-010163,0.198,1.5636
sub-010164,0.17337,0.43117
sub-010165,0.28162,1.1276
sub-010167,0.25407,0.86264
sub-010168,0.16486,1.4225
sub-010171,0.35679,1.0007
sub-010173,0.20984,0.78262
sub-010174,0.2775,1.6248
sub-010176,0.21591,1.4202
sub-010184,0.24864,0.86085
sub-010185,0.28437,1.4685
sub-010186,0.22469,0.49094
sub-010187,0.22998,0.58702
sub-010188,0.2309,1.1592
sub-010189,0.18557,0.98597
sub-010190,0.22256,0.8883
sub-010191,0.21293,0.68137
sub-010192,0.083331,0.49406
sub-010194,0.26615,3.7363
sub-010195,0.24663,1.3815
sub-010196,0.27966,0.61845
sub-010200,0.20852,1.3377
sub-010201,0.17972,0.47296
sub-010203,0.17333,0.40058
sub-010204,0.18102,0.65042
sub-010208,0.20316,0.88726
sub-010209,0.20062,0.45805
sub-010210,0.18576,0.42846
sub-010212,0.28984,0.77626
sub-010213,0.11961,0.35931
sub-010214,0.21686,0.63488
sub-010216,0.21282,0.74653
sub-010217,0.29895,0.61066
sub-010218,0.15631,1.2902
sub-010220,0.18257,0.50357
sub-010221,0.23533,0.42252
sub-010224,0.17805,0.75623
sub-010225,0.29563,2.3692
sub-010226,0.1814,0.90502
sub-010227,0.22975,1.0913
sub-010228,0.20904,0.55379
sub-010229,0.1539,0.63734
sub-010230,0.17778,1.164
sub-010231,0.19563,0.60599
sub-010232,0.18586,5.178
sub-010233,0.14907,1.1062
